Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
BOWEN COAL LIMITED ORDINARY,BCB,2228009,9999934147,.02228024
BRAINCHIP LTD ORDINARY,BRN,58294880,1972467976,2.95542846
BRAMBLES LIMITED ORDINARY,BXB,14325403,1395521606,1.02652678
BRAVURA SOLUTION LTD ORDINARY,BVS,4089304,448354002,.91207037
BRAZILIAN RARE EARTH ORDINARY,BRE,130848,94195856,.13891057
BREVILLE GROUP LTD ORDINARY,BRG,5508667,143937823,3.82711568
BRICKWORKS LIMITED ORDINARY,BKW,1159524,152944922,.75813174
BUBS AUST LTD ORDINARY,BUB,2365926,893130038,.26490275
BURGUNDY D MINES LTD ORDINARY,BDM,8174,1421332274,.00057509
BWP TRUST ORDINARY UNITS,BWP,3896123,713511241,.54604928
CADOUX LIMITED ORDINARY,CCM,54732,370917589,.01475584
CALIX LIMITED ORDINARY,CXL,5480464,182204577,3.00786297
CAPRAL LIMITED ORDINARY,CAA,29,17221101,.0001684
CAPRICORN METALS ORDINARY,CMM,3016392,410931365,.73403791
CAPSTONECORP CDI1:1FOREXEMPT TSX,CSC,189619,166020025,.11421454
CAR GROUP LIMITED ORDINARY,CAR,2657264,377680225,.70357509
CARDNO LIMITED ORDINARY,CDD,3,39060663,.00000768
CARNABY RESOURCE LTD ORDINARY,CNB,72026,171937246,.04189087
CARNARVON ENERGY LTD ORDINARY,CVN,1232913,1789086882,.06891298
CASH CONVERTERS ORDINARY,CCV,7103,627545015,.00113187
CASTILE RESOURCES ORDINARY,CST,31015,241902427,.01282129
CATALYST METALS ORDINARY,CYL,1,225982544,.00000044
CATAPULT GRP INT LTD ORDINARY,CAT,346789,271424126,.12776646
CEDAR WOODS PROP. ORDINARY,CWP,1002,82510622,.00121439
CENTAURUS METALS LTD ORDINARY,CTM,489720,496701213,.09859448
CENTURIA CAPITAL FPO/UNITS STAPLED,CNI,3734240,830091925,.44985861
CENTURIA I REIT ORDINARY UNITS,CIP,10927027,634930635,1.72097965
CENTURIA OFFICE REIT ORDINARY UNITS,COF,8375228,597336931,1.40209446
CETTIRE ORDINARY,CTT,28691307,381238220,7.52582126
CHALICE MINING LTD ORDINARY,CHN,20667947,389026788,5.31273106
CHALLENGER GOLD LTD ORDINARY,CEL,3594,1520200128,.00023642
CHALLENGER LIMITED ORDINARY,CGF,4470490,691395691,.64658922
CHAMPION IRON LTD ORDINARY,CIA,23706781,518251001,4.5743821
CHARTER HALL GROUP STAPLED US PROHIBIT.,CHC,6109524,472997199,1.29166177
CHARTER HALL RETAIL UNITS,CQR,1960988,581229609,.33738612
CHARTER HALL SOC IN UNITS,CQE,3059753,373563586,.81907154
CHORUS LIMITED ORD FOR.EXEMPT NZX,CNU,3219638,433887294,.74204478
CHRYSOSCORPLTD ORDINARY,C79,904703,115153797,.78564756
CHTR H LWR UNITS STAPLED,CLW,16610323,715995325,2.31989266
CITY CHIC COLLECTIVE ORDINARY,CCX,1173083,385157793,.30457205
CLARITY PHARMA ORDINARY,CU6,2806755,320211465,.8765317
CLEAN TEQ WATER ORDINARY,CNQ,610594,72242303,.84520284
CLEANAWAY WASTE LTD ORDINARY,CWY,12901346,2230949428,.57828949
CLINUVEL PHARMACEUT. ORDINARY,CUV,3046567,50060680,6.08574834
CLOSE LOOP ORDINARY,CLG,612353,531849866,.11513644
CLOVER CORPORATION ORDINARY,CLV,23121,166999341,.01384496
COAST ENTERTAINMENT ORDINARY,CEH,3330144,431735415,.77133909
COCHLEAR LIMITED ORDINARY,COH,337489,65456163,.51559545
CODA MINERALS LTD ORDINARY,COD,294795,248883271,.11844709
CODAN LIMITED ORDINARY,CDA,281645,181555390,.15512897
COGSTATE LTD ORDINARY,CGS,327274,172644894,.18956483
COLES GROUP ORDINARY,COL,11649608,1340288137,.86918683
