company_name,address,summary,details,website,stock_code
GENEX POWER LIMITED,"Suite 12.03, Level 12, 35 Clarence Street, SYDNEY, NSW, AUSTRALIA, 2000",Genex Power Limited (GNX) is a power generation and energy storage company based in Australia. Its focus is on the development of a number of diverse renewable energy projects at its Kidston Renewable Energy Hub in Northern Queensland and at Jemalong in N,Genex Power Limited (GNX) is a power generation and energy storage company based in Australia. Its focus is on the development of a number of diverse renewable energy projects at its Kidston Renewable Energy Hub in Northern Queensland and at Jemalong in N,http://www.genexpower.com.au,GNX
THE GO2 PEOPLE LTD,"Suite 104 Level 1, 109 Oxford Street, BONDI JUNCTION, NSW, AUSTRALIA, 2022",Commercial & Professional Services,Commercial & Professional Services,https://btmh.com.au/go2,GO2
GOLD ROAD RESOURCES LIMITED,"LEVEL 2, 26 COLIN STREET, WEST PERTH, WA, AUSTRALIA, 6005","Gold mining, gold and other minerals exploration.","Gold mining, gold and other minerals exploration.",http://www.goldroad.com.au/,GOR
GOWING BROS LIMITED,"Suite 3, Level 3, The Gowings Building, 35-61 Harbour Drive, COFFS HARBOUR, NSW, AUSTRALIA, 2450",Long term investments and property operations,Long term investments and property operations,http://www.gowings.com,GOW
GROWTHPOINT PROPERTIES AUSTRALIA,"Level 18, 101 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",Investing in Australian commercial real estate,Investing in Australian commercial real estate,http://www.growthpoint.com.au,GOZ
GEOPACIFIC RESOURCES LTD,"Level 1, 278 Stirling Highway, CLAREMONT, WA, AUSTRALIA, 6010",Mineral development and exploration focussed on the Woodlark Gold Project in Papua New Guinea.,Mineral development and exploration focussed on the Woodlark Gold Project in Papua New Guinea.,http://www.geopacific.com.au,GPR
GPT GROUP,"Level 51, 25  Martin Place, SYDNEY, NSW, AUSTRALIA, 2000","The GPT Group is one of Australia's largest diversified property groups and  owns and manages a portfolio of retail, office and logistics property assets across Australia.","The GPT Group is one of Australia's largest diversified property groups and  owns and manages a portfolio of retail, office and logistics property assets across Australia.",http://www.gpt.com.au,GPT
GQG PARTNERS INC.,"450 East Las Olas Boulevard, Suite 750, FORT LAUDERDALE, FLO, UNITED STATES OF AMERICA, 33301",Investment management firm focused on global & emerging markets equities,Investment management firm focused on global & emerging markets equities,https://gqgpartners.com/,GQG
GREAT DIRT RESOURCES LTD,"Level 4, 216 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",Mining exploration,Mining exploration,https://greatdirt.com.au/,GR8
GREENTECH METALS LIMITED,"Level 2, 10 Ord Street, WEST PERTH, WA, AUSTRALIA, 6005",Mineral exploration,Mineral exploration,https://www.greentechmetals.com/,GRE
GODOLPHIN RESOURCES LIMITED,"Unit 13, 11-19 William Street, ORANGE, NSW, AUSTRALIA, 2800",Mineral exploration,Mineral exploration,http://www.godolphinresources.com.au,GRL
GRANGE RESOURCES LIMITED.,"34a Alexander Street, BURNIE, TAS, AUSTRALIA, 7320",Magnetite producer,Magnetite producer,http://www.grangeresources.com.au,GRR
GREENVALE ENERGY LTD,"Suite 6, Level 5, 189 Kent Street, SYDNEY, NSW, AUSTRALIA, 2000",Mineral exploration in Queensland,Mineral exploration in Queensland,https://greenvaleenergy.com.au/,GRV
GREENX METALS LIMITED,"Level 9, 28 The Esplanade, PERTH, WA, AUSTRALIA, 6000",Arctic Rift Copper Project exploration in Greenland,Arctic Rift Copper Project exploration in Greenland,http://www.greenxmetals.com,GRX
GOLDEN STATE MINING LIMITED,"SUITE 15, 19-21 OUTRAM STREET, 19-21 Outram Street, WEST PERTH, WA, AUSTRALIA, 6005",Mineral exploration,Mineral exploration,http://goldenstatemining.com.au/,GSM
GREAT SOUTHERN MINING LIMITED,"Suite 4, 213 Balcatta Road, BALCATTA, WA, AUSTRALIA, 6021",Gold and nickel exploration in Western Australia and north Queensland.,Gold and nickel exploration in Western Australia and north Queensland.,http://www.gsml.com.au,GSN
GREENSTONE RESOURCES LIMITED,"Level 2, 16 Ord Street, WEST PERTH, WA, AUSTRALIA, 6005",Gold exploration.,Gold exploration.,http://www.greenstoneresources.com.au,GSR
GENETIC SIGNATURES LIMITED,"7 Eliza St, NEWTOWN, NSW, AUSTRALIA, 2042",Molecular Diagnostics.,Molecular Diagnostics.,http://geneticsignatures.com/,GSS
GREEN TECHNOLOGY METALS LIMITED,"Level 1, 338 Barker Road, SUBIACO, WA, AUSTRALIA, 6008",Mineral exploration,Mineral exploration,https://www.greentm.com.au/,GT1
GREAT WESTERN EXPLORATION LIMITED.,"Level 2, 160 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",Mineral exploration,Mineral exploration,http://www.greatwesternexploration.com.au,GTE
GENETIC TECHNOLOGIES LIMITED,"60-66 Hanover Street, FITZROY, VIC, AUSTRALIA, 3065","GTG is a global leader in guideline driven genomics based tests in health, wellness and serious disease with its patented geneType polygenic based risk tests and EasyDNA brands. 

Our portfolio also includes pharmacogenomics, Non-Invasive Prenatal Testi","GTG is a global leader in guideline driven genomics based tests in health, wellness and serious disease with its patented geneType polygenic based risk tests and EasyDNA brands. 

Our portfolio also includes pharmacogenomics, Non-Invasive Prenatal Testi",http://www.genetype.com,GTG
GATHID LTD,"1  5 Prosper Cres, BURLEIGH HEADS, QLD, AUSTRALIA, 4220","Developer of physical security, safety and compliance software","Developer of physical security, safety and compliance software",https://gathid.com/,GTH
GRATIFII LIMITED,"Suite 2, Level 1, 44a Foveaux Street, SURRY HILLS, NSW, AUSTRALIA, 2010",Full stack customer engagement technology provider that delivers end-to-end technology solutions for businesses to engage with their customers.,Full stack customer engagement technology provider that delivers end-to-end technology solutions for businesses to engage with their customers.,http://gratifii.com,GTI
GENTRACK GROUP LIMITED,"17 Hargreaves Street, St Marys Bay, AUSTRALIA,","Design, development, implementation and support of specialist software solutions for energy utilities, water companies and airports.","Design, development, implementation and support of specialist software solutions for energy utilities, water companies and airports.",http://www.gentrack.com,GTK
GTN LIMITED,"Level 42 Northpoint, 100 Miller Street, NORTH SYDNEY, NSW, AUSTRALIA, 2060","Provides a differentiated advertising platform that enables advertisers to reach radio and television audiences. GTN supplies traffic information reports to radio stations in exchange for commercial advertising spots embedded within traffic, news and information reports. These embedded spots are bundled together and sold to advertisers on a national, regional or specific market basis","Provides a differentiated advertising platform that enables advertisers to reach radio and television audiences. GTN supplies traffic information reports to radio stations in exchange for commercial advertising spots embedded within traffic, news and information reports. These embedded spots are bundled together and sold to advertisers on a national, regional or specific market basis",http://www.gtnetwork.com.au,GTN
GTI ENERGY LTD,"333C Charles Street, NORTH PERTH, WA, AUSTRALIA, 6006",ISR Uranium exploration,ISR Uranium exploration,https://www.gtienergy.au/,GTR
