company_name,address,summary,details,website,stock_code
BROOKSIDE ENERGY LIMITED,"Level 3, 88 William Street, PERTH, WA, AUSTRALIA, 6000",Oil & Gas Exploration,Oil & Gas Exploration,http://www.brookside-energy.com.au,BRK
BATHURST RESOURCES LIMITED.,"1 Willeston Street, WELLINGTON, ., NEW ZEALAND, 6011","Exploration, development and coal production in New Zealand.","Exploration, development and coal production in New Zealand.",http://bathurst.co.nz,BRL
BRAINCHIP HOLDINGS LTD,"Level 8, 210 George Street, SYDNEY, NSW, AUSTRALIA, 2000",Technology,Technology,http://www.brainchipinc.com,BRN
BURU ENERGY LIMITED,"Level 2, 16 Ord Street, WEST PERTH, WA, AUSTRALIA, 6005","Petroleum exploration, development and production.","Petroleum exploration, development and production.",http://www.buruenergy.com,BRU
BELARAROX LIMITED,"Level 11, 12 The Esplanade, PERTH, WA, AUSTRALIA, 6000",Mineral exploration,Mineral exploration,http://www.belararox.com.au,BRX
BSA LIMITED,"Suite 1401, Level 14,, Tower B, The Zenith,, 821 Pacific Highway, CHATSWOOD, NSW, AUSTRALIA, 2067",National provider of contracting services to subscription TV and telecommunication companies who require satellite and telecommunication installation services; The supply of TV aerials and digital television and communication/alarm equipment to the home t,National provider of contracting services to subscription TV and telecommunication companies who require satellite and telecommunication installation services; The supply of TV aerials and digital television and communication/alarm equipment to the home t,http://www.bsa.com.au,BSA
BASE RESOURCES LIMITED,"Level 3, 46 Colin Street, WEST PERTH, WA, AUSTRALIA, 6005",Mineral sands producer from Kwale Operations in Kenya,Mineral sands producer from Kwale Operations in Kenya,http://www.baseresources.com.au,BSE
BLUESCOPE STEEL LIMITED,"Level 24, 181 William St, MELBOURNE, VIC, AUSTRALIA, 3000",steel manufacture,steel manufacture,http://www.bluescope.com/,BSL
BASIN ENERGY LIMITED,"Level 1, 3 Ord Street, WEST PERTH, WA, AUSTRALIA, 6005",Mining exploration,Mining exploration,http://www.basinenergy.com.au/,BSN
BLACKSTONE MINERALS LIMITED,"Level 5, 600 Murray Street, WEST PERTH, WA, AUSTRALIA, 6005",Mineral exploration and development of the Ta Khoa Nickel-Copper-PGE Project in Vietnam,Mineral exploration and development of the Ta Khoa Nickel-Copper-PGE Project in Vietnam,http://www.blackstoneminerals.com.au,BSX
BTC HEALTH LTD,"Level 1, 10 Oxley Road, HAWTHORN, VIC, AUSTRALIA, 3122","BTC health is a Pooled Development Fund which makes active investments in businesses that acquire, develop and distribute innovative medical products in Australia and New Zealand. The company is building a group of high-growth businesses which together ar","BTC health is a Pooled Development Fund which makes active investments in businesses that acquire, develop and distribute innovative medical products in Australia and New Zealand. The company is building a group of high-growth businesses which together ar",http://www.btchealth.com.au,BTC
BOTALA ENERGY LTD,"C/- Carbon Accountants & Business Consul, 24 Hasler Road,, OSBORNE PARK, WA, AUSTRALIA, 6017",Coal-bed Methane (CBM) exploration and development,Coal-bed Methane (CBM) exploration and development,https://www.botalaenergy.com/,BTE
BIGTINCAN HOLDINGS LIMITED,"Level 8, 320 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",Provider of enterprise mobility software,Provider of enterprise mobility software,http://www.bigtincan.com,BTH
BAILADOR TECHNOLOGY INVESTMENTS LIMITED,"Suite 3 Level 20, 20 Bond St, SYDNEY, NSW, AUSTRALIA, 2000",An investment company which will invest in businesses in the information technology sector.,An investment company which will invest in businesses in the information technology sector.,http://www.bailador.com.au,BTI
BUTN LIMITED,"C/o K&L Gates, Level 25, 525 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",Butn Limited is a founder led Australian B2B funder innovating the way SMEs fund and grow their businesses. Butn focuses on transactional funding helping businesses through their working capital constraints.,Butn Limited is a founder led Australian B2B funder innovating the way SMEs fund and grow their businesses. Butn focuses on transactional funding helping businesses through their working capital constraints.,https://butn.co/,BTN
BRIGHTSTAR RESOURCES LIMITED,"Level 2 36 Rowland Street, SUBIACO, WA, AUSTRALIA, 6008",Gold exploration.,Gold exploration.,http://www.brightstarresources.com.au/,BTR
BUBS AUSTRALIA LIMITED,"23 Nina Link, DANDENONG SOUTH, VIC, AUSTRALIA, 3175",Manufacturer of infant milk formula.,Manufacturer of infant milk formula.,http://www.bubsaustralia.com,BUB
BURLEY MINERALS LTD,"Level 3, 30 Richardson Street, WEST PERTH, WA, AUSTRALIA, 6005",Mineral Exploration,Mineral Exploration,http://burleyminerals.com.au/,BUR
BUBALUS RESOURCES LIMITED,"Level 2, 22 Mount Street, PERTH, WA, AUSTRALIA, 6000",Mineral exploration and mining,Mineral exploration and mining,http://www.bubalusresources.com.au/,BUS
BUXTON RESOURCES LIMITED,"Suite 1, First Floor, 14-16 Rowland Street, SUBIACO, WA, AUSTRALIA, 6008",Mineral exploration.,Mineral exploration.,http://www.buxtonresources.com.au,BUX
BOUNTY OIL & GAS NL,"Level 7, 283 George Street, SYDNEY, NSW, AUSTRALIA, 2000",Exploration for and production of oil and gas.,Exploration for and production of oil and gas.,http://www.bountyoil.com/,BUY
BELLAVISTA RESOURCES LTD,"Level 2, 8 Richardson Street, WEST PERTH, WA, AUSTRALIA, 6005",Exploration and Mining,Exploration and Mining,https://www.bellavistaresources.com/,BVR
BRAVURA SOLUTIONS LIMITED.,"Level 6, 345 George Street, SYDNEY, NSW, AUSTRALIA, 2000","Provider of software products and services to clients operating in the wealth management and funds administration industries which support the functions needed to manage and administer financial products across investment products, wrap platforms, superannuation and pension, retirement, life insurance, private wealth and portfolio administration.","Provider of software products and services to clients operating in the wealth management and funds administration industries which support the functions needed to manage and administer financial products across investment products, wrap platforms, superannuation and pension, retirement, life insurance, private wealth and portfolio administration.",http://bravurasolutions.com/,BVS
BLACKWALL LIMITED,"Level 1, 50 Yeo Street, NEUTRAL BAY, NSW, AUSTRALIA, 2089",The Company conducts a vertically integrated property funds management business.,The Company conducts a vertically integrated property funds management business.,http://www.blackwall.com.au,BWF
BWP TRUST,"Level 14, Brookfield Place Tower 2, 123 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000","Warehouse retailing properties, in particular, Bunnings Warehouses.","Warehouse retailing properties, in particular, Bunnings Warehouses.",http://www.bwptrust.com.au,BWP
BWX LIMITED,"Unit 1, 45-49 McNaughton Road, CLAYTON, VIC, AUSTRALIA, 3168",Vertically integrated beauty and personal care production and distribution company.,Vertically integrated beauty and personal care production and distribution company.,http://www.bwxltd.com,BWX
BRAMBLES LIMITED,"Level 29, 255 George Street, SYDNEY, NSW, AUSTRALIA, 2000","Brambles is a supply-chain logistics company operating in more than 60 countries. Brambles operates primarily through the CHEP brand and manages the world's largest pool of reusable pallets, crates and containers.","Brambles is a supply-chain logistics company operating in more than 60 countries. Brambles operates primarily through the CHEP brand and manages the world's largest pool of reusable pallets, crates and containers.",http://www.brambles.com,BXB
BIOXYNE LIMITED,"Suite 506, Level 5, 50 Clarence Street, SYDNEY, NSW, AUSTRALIA, 2000",Biotechnology.,Biotechnology.,http://www.bioxyne.com,BXN
BYRON ENERGY LIMITED,"Level 4, 480 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000","Oil and gas exploration and development in the shallow waters of Gulf of Mexico, USA.","Oil and gas exploration and development in the shallow waters of Gulf of Mexico, USA.",http://www.byronenergy.com.au,BYE
BRYAH RESOURCES LIMITED,"Level 1, 85 Havelock Street, WEST PERTH, WA, AUSTRALIA, 6005",Mining exploration,Mining exploration,http://www.bryah.com.au,BYH
COSMOS EXPLORATION LIMITED,"Level 1, 338 Barker Road, SUBIACO, WA, AUSTRALIA, 6008",Mineral Exploration & Development,Mineral Exploration & Development,https://www.cosmosx.com.au/,C1X
C29 METALS LIMITED,"Suite 11, Level 2, 23 Railway Rd, SUBIACO, WA, AUSTRALIA, 6008","Mineral exploration with a primary focus on identifying, exploring and developing prospective copper, gold and base metal assets throughout Australia.","Mineral exploration with a primary focus on identifying, exploring and developing prospective copper, gold and base metal assets throughout Australia.",https://c29metals.com.au/,C29
CHRYSOS CORPORATION LIMITED,"C/-THOMSON GEER, LEVEL 5 19 GOUGER STREE, ADELAIDE, SA, AUSTRALIA, 5000",Provision of assay technologies and services,Provision of assay technologies and services,https://www.chrysos.com.au/,C79
CLARA RESOURCES AUSTRALIA LTD,"Level 27, 111 Eagle Street, BRISBANE, QLD, AUSTRALIA, 4000","Aus Tin Mining is focussed on the delivery of high-value metals critical to the energy revolution.  The Company holds an exciting portfolio projects with assets at different stages of developing including operating, pre-construction, feasibility and explo","Aus Tin Mining is focussed on the delivery of high-value metals critical to the energy revolution.  The Company holds an exciting portfolio projects with assets at different stages of developing including operating, pre-construction, feasibility and explo",https://www.austinmining.com.au/,C7A
CAPRAL LIMITED,"71 Ashburn Road, BUNDAMBA, QLD, AUSTRALIA, 4304","Extruding, finishing and distribution of aluminium products.","Extruding, finishing and distribution of aluminium products.",http://www.capral.com.au/,CAA
CANNINDAH RESOURCES LIMITED,"Level 4 Office 4D, 16 Queensland Avenue, Broadbeach, GOLD COAST, QLD, AUSTRALIA, 4218",Minerals exploration and development,Minerals exploration and development,http://www.cannindah.com.au,CAE
CENTREPOINT ALLIANCE LIMITED,"Level 8, 309 - 315 George St, SYDNEY, NSW, AUSTRALIA, 2000","Financial Advice
Financial Products Solutions","Financial Advice
Financial Products Solutions",http://www.centrepointalliance.com.au,CAF
CAPE RANGE LTD,"36 Prestwick Drive, TWIN WATERS, QLD, AUSTRALIA, 4564",The provision of accounting software.,The provision of accounting software.,http://www.caperange.com.au,CAG
CALIDUS RESOURCES LIMITED,"Suite 12, 11 Ventnor Avenue, WEST PERTH, WA, AUSTRALIA, 6005",Gold Exploration,Gold Exploration,https://www.calidus.com.au/,CAI
CAPITOL HEALTH LIMITED,"Level 2, 288 Victoria Parade, EAST MELBOURNE, VIC, AUSTRALIA, 3002",Medical diagnostic imaging,Medical diagnostic imaging,http://www.capitolhealth.com.au,CAJ
CLIME CAPITAL LIMITED,"Level 12, 20 Hunter Street, SYDNEY, NSW, AUSTRALIA, 2000","Investment company, investing predominantly in ASX listed securities.","Investment company, investing predominantly in ASX listed securities.",http://www.climecapital.com.au,CAM
CANN GROUP LIMITED,"262-276 Lorimer Street, PORT MELBOURNE, VIC, AUSTRALIA, 3207",Cultivation of cannabis for medicinal and research purposes and manufacturing of medicinal cannabis products,Cultivation of cannabis for medicinal and research purposes and manufacturing of medicinal cannabis products,https://www.canngrouplimited.com/,CAN
CAQ HOLDINGS LIMITED,"Unit 91, 262 Lord Street, PERTH, WA, AUSTRALIA, 6000",Property Development,Property Development,http://www.cellaquaculture.com.au,CAQ
CAR GROUP LIMITED,"Level 4, 449 Punt Road, Richmond, VIC, AUSTRALIA, 3121",Online automotive advertising.,Online automotive advertising.,http://www.cargroup.com,CAR
CATAPULT GROUP INTERNATIONAL LTD,"75 High Street, PRAHRAN, VIC, AUSTRALIA, 3181",Application Software,Application Software,http://www.catapult.com,CAT
CARNAVALE RESOURCES LIMITED,"Level 2, Suite 9, 389 Oxford Street, MT HAWTHORN, WA, AUSTRALIA, 6016","Exploration and development company based in Perth, Western Australia.
Exploring for gold-silver-copper in Arizona and Nevada, USA.","Exploration and development company based in Perth, Western Australia.
Exploring for gold-silver-copper in Arizona and Nevada, USA.",http://www.carnavaleresources.com,CAV
CANYON RESOURCES LIMITED,"945, Wellington Street, WEST PERTH, WA, AUSTRALIA, 6005",Bauxite exploration,Bauxite exploration,http://www.canyonresources.com.au,CAY
CAZALY RESOURCES LIMITED,"Level 3, 30 Richardson Street, WEST PERTH, WA, AUSTRALIA, 6005","Gold, cobalt and copper explorer","Gold, cobalt and copper explorer",http://www.cazalyresources.com.au,CAZ
COMMONWEALTH BANK OF AUSTRALIA.,"Commonwealth Bank of Australia, Commonwealth Bank Place South, Level 1, 11 Harbour Street, SYDNEY, NSW, AUSTRALIA, 2000","Banking, financial and related services.","Banking, financial and related services.",http://www.commbank.com.au/,CBA
COBRE LIMITED,"Level 10, Kyle House, 27 Macquarie Place, SYDNEY, NSW, AUSTRALIA, 2000",Mineral exploration,Mineral exploration,http://www.cobre.com.au,CBE
COOLABAH METALS LIMITED,"Level 11, 216 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",Mineral exploration,Mineral exploration,https://coolabahmetals.com.au/,CBH
CONTROL BIONICS LIMITED,"Level 4 11 Pearson Street, CREMORNE, VIC, AUSTRALIA, 3121","Technology company that designs, manufactures and sells augmentative and alternative communication technology that allows users to operate and communicate via computer using their thoughts and neural signals","Technology company that designs, manufactures and sells augmentative and alternative communication technology that allows users to operate and communicate via computer using their thoughts and neural signals",https://www.controlbionics.com/,CBL
COBRAM ESTATE OLIVES LIMITED,"151 Broderick Road, LARA, VIC, AUSTRALIA, 3212",Olive farming and production and sales of olive oil,Olive farming and production and sales of olive oil,https://www.cobramestateolives.com.au/,CBO
CANTERBURY RESOURCES LIMITED,"Suite 301, 55 Miller Street,, PYRMONT, NSW, AUSTRALIA, 2009",Mining Exploration,Mining Exploration,http://www.canterburyresources.com.au,CBY
CHARIOT CORPORATION LTD,"Mining Corporate Pty Ltd, Level 8, 216 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",Mineral exploration,Mineral exploration,https://www.chariotcorporation.com/,CC9
CHANGE FINANCIAL LIMITED,"Suite 3E, Level 3, 340 Adelaide Street, BRISBANE, QLD, AUSTRALIA, 4000",Developer and operator of a digital payments and card issuing platform enabling banks to offer customisable payment solutions to their customers.,Developer and operator of a digital payments and card issuing platform enabling banks to offer customisable payment solutions to their customers.,http://www.changefinancial.com,CCA
CARNEGIE CLEAN ENERGY LIMITED,"21 North Mole Drive, NORTH FREMANTLE, WA, AUSTRALIA, 6159",Development of the CETO Wave Energy Technology.,Development of the CETO Wave Energy Technology.,http://www.carnegiece.com,CCE
COMMS GROUP LTD,"Level 3, 45 Clarence Street, SYDNEY, NSW, AUSTRALIA, 2000","Comms Group is an information and communication technology (ICT) business, providing a comprehensive range of telco and IT related managed services. 
Comms Group services clients in Australia and internationally including New Zealand and Singapore.

Th","Comms Group is an information and communication technology (ICT) business, providing a comprehensive range of telco and IT related managed services. 
Comms Group services clients in Australia and internationally including New Zealand and Singapore.

Th",http://www.commsgroup.com.au,CCG
CADOUX LIMITED,"Unit 8-9, 88 Forrest Street, COTTESLOE, WA, AUSTRALIA, 6011","Cadoux Ltd is a resources company that is focused on developing an innovative and vertically integrated high quality, high-purity alumina for use in various high growth tech applications.","Cadoux Ltd is a resources company that is focused on developing an innovative and vertically integrated high quality, high-purity alumina for use in various high growth tech applications.",http://www.cadoux.com.au,CCM
THE CALMER CO INTERNATIONAL LIMITED,"96 Victoria Street, WEST END, QLD, AUSTRALIA, 4101","The Calmer Co. International Limited is a natural medicine and functional beverage company marketing products that reduce stress and anxiety and support sleep and recovery. Their brands include Taki Mai, Fiji Kava and Danodan with products based on Fijian","The Calmer Co. International Limited is a natural medicine and functional beverage company marketing products that reduce stress and anxiety and support sleep and recovery. Their brands include Taki Mai, Fiji Kava and Danodan with products based on Fijian",http://www.thecalmerco.com,CCO
CREDIT CORP GROUP LIMITED,"Level 15, 201 Kent Street, SYDNEY, NSW, AUSTRALIA, 2000",The Company operates within the Australian debt collection and consumer lending industry.,The Company operates within the Australian debt collection and consumer lending industry.,http://www.creditcorp.com.au,CCP
CREDIT CLEAR LIMITED,"Building 11, 41-43 Bourke Road, ALEXANDRIA, NSW, AUSTRALIA, 2015",Fintech company operating across Australia that specialises in receivables management solutions.,Fintech company operating across Australia that specialises in receivables management solutions.,https://www.creditclear.com.au,CCR
CASH CONVERTERS INTERNATIONAL,"Westralia Square, Level 11/141 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000","Operating owned and franchised second-hand goods and financial services stores, and providing unsecured personal loans, operating under the Cash Converters name. Provision of secured vehicle finance under the Green Light Auto brand","Operating owned and franchised second-hand goods and financial services stores, and providing unsecured personal loans, operating under the Cash Converters name. Provision of secured vehicle finance under the Green Light Auto brand",https://www.cashconverters.com.au,CCV
CITY CHIC COLLECTIVE LIMITED,"151-163 Wyndham Street, ALEXANDRIA, NSW, AUSTRALIA, 2015",Retailing of women's apparel,Retailing of women's apparel,http://www.citychiccollective.com.au,CCX
CASTILLO COPPER LIMITED,"45 Ventnor Avenue, WEST PERTH, WA, AUSTRALIA, 6005",Exploration,Exploration,http://www.castillocopper.com/,CCZ
CD PRIVATE EQUITY FUND I,"Level 44, 101 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",Acquire equity stakes in private investments.,Acquire equity stakes in private investments.,https://cdfunds.com.au/,CD1
CD PRIVATE EQUITY FUND II,"Level 44, 101 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",Investment in US small-to-mid-market private investment funds.,Investment in US small-to-mid-market private investment funds.,https://cdfunds.com.au/,CD2
CD PRIVATE EQUITY FUND III,"Level 44, 101 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",Listed Managed Investment Scheme,Listed Managed Investment Scheme,https://cdfunds.com.au/,CD3
CODAN LIMITED,"Technology Park, 2 Second Avenue, MAWSON LAKES, SA, AUSTRALIA, 5095","Codan Limited designs, manufactures and markets a diversified range of high value-added electronics products for global government, business, aid and humanitarian, and sophisticated consumer markets.
Our core products are radio communications, metal detectors and mining technology.","Codan Limited designs, manufactures and markets a diversified range of high value-added electronics products for global government, business, aid and humanitarian, and sophisticated consumer markets.
Our core products are radio communications, metal detectors and mining technology.",http://www.codan.com.au,CDA
CARDNO LIMITED,"Level 8, 210 George St, SYDNEY, NSW, AUSTRALIA, 2000","Cardno is an infrastructure, environmental and social development company; improving the lives of people and communities around the world.","Cardno is an infrastructure, environmental and social development company; improving the lives of people and communities around the world.",http://www.cardno.com,CDD
CADENCE CAPITAL LIMITED,"Level 6, 131 Macquarie Street, SYDNEY, NSW, AUSTRALIA, 2000","The Company invests in an actively managed portfolio of securities, predominantly listed on ASX.","The Company invests in an actively managed portfolio of securities, predominantly listed on ASX.",http://www.cadencecapital.com.au,CDM
CADENCE OPPORTUNITIES FUND LIMITED.,"Level 6, 131 Macquarie Street, SYDNEY, NSW, AUSTRALIA, 2000",Investment company,Investment company,https://www.cadencecapital.com.au/cadence-opportunities-fund,CDO
CARINDALE PROPERTY TRUST,"Level 30, 85 Castlereagh Street, SYDNEY, NSW, AUSTRALIA, 2000","Owner, manager and developer of Westfield Carindale","Owner, manager and developer of Westfield Carindale",http://www.carindalepropertytrust.com.au/,CDP
CODRUS MINERALS LIMITED,"Level 2, 16 Altona Street, WEST PERTH, WA, AUSTRALIA, 6005","Codrus has a portfolio of exciting REE (Rare Earth Elements), and Copper Projects in Western Australia (WA) and Oregon, United States of America (USA).","Codrus has a portfolio of exciting REE (Rare Earth Elements), and Copper Projects in Western Australia (WA) and Oregon, United States of America (USA).",https://codrusminerals.com.au/,CDR
CASTLE MINERALS LIMITED,"Suite 9, 11 Ventnor Avenue, WEST PERTH, WA, AUSTRALIA, 6005",Gold and Mineral exploration.,Gold and Mineral exploration.,http://www.castleminerals.com,CDT
CARDIEX LIMITED,"Suite 301, Level 3, 55 Lime Street, SYDNEY, NSW, AUSTRALIA, 2000",The development and marketing of the SphygmoCor device used for cardiovascular patient assessment and management.,The development and marketing of the SphygmoCor device used for cardiovascular patient assessment and management.,http://www.cardiex.com,CDX
CALIMA ENERGY LIMITED,"Suite 4, 246-250 Railway Parade, WEST LEEDERVILLE, WA, AUSTRALIA, 6007","Oil & gas exploration, development and production in Canada","Oil & gas exploration, development and production in Canada",http://www.calimaenergy.com,CE1
COAST ENTERTAINMENT HOLDINGS LIMITED,"Suite 601, 83 Mount Street, NORTH SYDNEY, NSW, AUSTRALIA, 2060",Owner and operator of theme parks and family entertainment centres.,Owner and operator of theme parks and family entertainment centres.,https://www.coastentertainment.com.au,CEH
CHALLENGER GOLD LIMITED,"Level 1, 1205 Hay Street, WEST PERTH, WA, AUSTRALIA, 6005",Minerals Exploration,Minerals Exploration,http://www.challengergold.com,CEL
CONTACT ENERGY LIMITED,"Harbour City Tower, 29 Brandon Street, WELLINGTON, ., NEW ZEALAND, 6011",Electricity generation and electricity retailing.,Electricity generation and electricity retailing.,http://www.contact.co.nz/corporate,CEN
COMPLII FINTECH SOLUTIONS LTD,"Level 6, 56 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",Software and services,Software and services,http://www.complii.com.au,CF1
CFOAM LIMITED,"Level 1, 33 Ord Street, WEST PERTH, WA, AUSTRALIA, 6005","Development and commercialisation of the carbon foam CFOAM products and end use
applications.","Development and commercialisation of the carbon foam CFOAM products and end use
applications.",http://www.cfoam.com.au,CFO
CARBONXT GROUP LIMITED,"Level 8, 210 George Street, SYDNEY, NSW, AUSTRALIA, 2000",Provider of activated carbon products for emissions control applications,Provider of activated carbon products for emissions control applications,http://www.carbonxt.com/,CG1
CHALLENGER LIMITED,"Level 2, 5 Martin Place, SYDNEY, NSW, AUSTRALIA, 2000","The Company is a multi-faceted financial services organisation, with core businesses in annuities, funds management and administration platforms.","The Company is a multi-faceted financial services organisation, with core businesses in annuities, funds management and administration platforms.",http://www.challenger.com.au,CGF
CPT GLOBAL LIMITED,"3/818 Bourke Street, DOCKLANDS, VIC, AUSTRALIA, 3008","Specialist IT consultancy services covering Performance Tuning, Capacity Planning, Cost Reduction Services, Testing and Management of IT with subsidiaries in USA, Canada, UK, Germany, France and Singapore.","Specialist IT consultancy services covering Performance Tuning, Capacity Planning, Cost Reduction Services, Testing and Management of IT with subsidiaries in USA, Canada, UK, Germany, France and Singapore.",http://www.cptglobal.com,CGO
CGN RESOURCES LIMITED,"Suite 4, 6 Richardson Street, WEST PERTH, WA, AUSTRALIA, 6005",Mining & Resources,Mining & Resources,https://www.cgnresources.com.au/,CGR
COGSTATE LTD,"Level 2, 161 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",Cogstate Ltd (ASX:CGS) is the neuroscience company optimising brain health assessments to advance the development of new medicines and to enable earlier clinical insights in healthcare.,Cogstate Ltd (ASX:CGS) is the neuroscience company optimising brain health assessments to advance the development of new medicines and to enable earlier clinical insights in healthcare.,http://www.cogstate.com,CGS
CHARTER HALL GROUP,"Level 20, 1 Martin Place, SYDNEY, NSW, AUSTRALIA, 2000","The Group is an integrated property group operating across property funds management, development, property investment banking, property management and property investment.","The Group is an integrated property group operating across property funds management, development, property investment banking, property management and property investment.",http://www.charterhall.com.au,CHC
COHIBA MINERALS LIMITED,"Level 21, 459 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000","Exploration for gold, copper and base metals.","Exploration for gold, copper and base metals.",http://www.cohibaminerals.com.au,CHK
CAMPLIFY HOLDINGS LIMITED,"c/- Growthwise, 59 Parry Street, NEWCASTLE, NSW, AUSTRALIA, 2300","Camplify is a peer-to-peer digital marketplace connecting recreational vehicle owners to potential hirers. Camplify offers a diverse network of RVs for rent from campervans to caravans to motorhomes, suitable for every outdoor adventure.","Camplify is a peer-to-peer digital marketplace connecting recreational vehicle owners to potential hirers. Camplify offers a diverse network of RVs for rent from campervans to caravans to motorhomes, suitable for every outdoor adventure.",https://www.camplify.com.au/,CHL
CHIMERIC THERAPEUTICS LIMITED,"Level 3, 62 Lygon Street, CARLTON SOUTH, VIC, AUSTRALIA, 3053",Chimeric is a biotechnology company developing a cancer cell therapy drug,Chimeric is a biotechnology company developing a cancer cell therapy drug,http://www.chimerictherapeutics.com/,CHM
CHALICE MINING LIMITED,"Level 3, 46 Colin Street, WEST PERTH, WA, AUSTRALIA, 6005",Mineral exploration,Mineral exploration,http://www.chalicemining.com,CHN
CHARGER METALS NL,"Unit 32, Level 3, 22 Railway Road, SUBIACO, WA, AUSTRALIA, 6008",Mineral Exploration,Mineral Exploration,https://chargermetals.com.au/,CHR
CHILWA MINERALS LTD,"Suite 3, Level 1, 17 Ord Street, WEST PERTH, WA, AUSTRALIA, 6005","Chilwa was formed for the purpose of acquiring the Lake Chilwa Heavy Mineral Sands Project in Malawi, Africa (Project) from Luso Global Mining BV (Luso). The acquisition of the Project will be made pursuant to a share sale agreement with Luso and Mota-Eng","Chilwa was formed for the purpose of acquiring the Lake Chilwa Heavy Mineral Sands Project in Malawi, Africa (Project) from Luso Global Mining BV (Luso). The acquisition of the Project will be made pursuant to a share sale agreement with Luso and Mota-Eng",https://www.chilwaminerals.com.au/,CHW
CREDIT INTELLIGENCE LTD,"24-26 Kent Street, MILLERS POINT, NSW, AUSTRALIA, 2000",Debt restructuring and provision of bankruptcy administration services,Debt restructuring and provision of bankruptcy administration services,http://www.ci1.com.au,CI1
CHAMPION IRON LIMITED,"91 Evans Street, ROZELLE, NSW, AUSTRALIA, 2039",Iron ore mining and mineral exploration,Iron ore mining and mineral exploration,http://www.championiron.com,CIA
CARLTON INVESTMENTS LIMITED,"Level 15, 478 George Street, SYDNEY, NSW, AUSTRALIA, 2000",Acquisition and long term holding of shares in corporations listed on the Australian Stock Exchange.,Acquisition and long term holding of shares in corporations listed on the Australian Stock Exchange.,http://www.carltoninvestments.com.au/,CIN
CONNECTED IO LIMITED,"Level 24, 44 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000","Developer of wireless hardware technologies for the Machine to Machine (M2M) market, including the Machine Connect modem for intelligent connectivity between machines","Developer of wireless hardware technologies for the Machine to Machine (M2M) market, including the Machine Connect modem for intelligent connectivity between machines",http://www.connectedio.com.au,CIO
CENTURIA INDUSTRIAL REIT,"Level 41, Chifley Tower, 2 Chifley Square, SYDNEY, NSW, AUSTRALIA, 2000",Holds a portfolio of industrial properties within Australia.,Holds a portfolio of industrial properties within Australia.,https://centuria.com.au/cip,CIP
CLIME INVESTMENT MANAGEMENT LTD,"Level 12, 20 Hunter Street, SYDNEY, NSW, AUSTRALIA, 2000",Investing in listed and unlisted securities and operating under an ASIC approved AFS licence in the funds management industry.,Investing in listed and unlisted securities and operating under an ASIC approved AFS licence in the funds management industry.,http://www.clime.com.au,CIW
COKAL LIMITED,"Level 5, 56 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",Coal Exploration,Coal Exploration,http://www.cokal.com.au,CKA
COLLINS FOODS LIMITED,"Level 3, KSD1, 485 Kingsford Smith Drive, HAMILTON, QLD, AUSTRALIA, 4007",Restaurant operations.,Restaurant operations.,http://www.collinsfoods.com,CKF
CARLY HOLDINGS LIMITED,"Suite 3.02, Level 3, 189 Kent Street, SYDNEY, NSW, AUSTRALIA, 2000","Carly Holdings (ASX:CL8) is innovating in the automotive industry in Australia and New Zealand through www.Carly.co, the first flexible car subscription solution. Carly is an alternative to owning or financing a vehicle.","Carly Holdings (ASX:CL8) is innovating in the automotive industry in Australia and New Zealand through www.Carly.co, the first flexible car subscription solution. Carly is an alternative to owning or financing a vehicle.",https://www.carly.co/investors/,CL8
CELSIUS RESOURCES LIMITED.,"Level 5, 191 St. Georges Terrace, PERTH, WA, AUSTRALIA, 6000",Mineral exploration and development.,Mineral exploration and development.,http://www.celsiusresources.com.au,CLA
CANDY CLUB HOLDINGS LIMITED,"Level 2, 350 Kent Street, SYDNEY, NSW, AUSTRALIA, 2000",Confectionary retailing,Confectionary retailing,http://www.candyclublimited.com.au,CLB
CYCLONE METALS LIMITED,"32 Harrogate Street, WEST LEEDERVILLE, WA, AUSTRALIA, 6007",Mineral Exploration,Mineral Exploration,https://cyclonemetals.com/,CLE
CLOSE THE LOOP LTD.,"43-47 Cleeland Road, OAKLEIGH SOUTH, VIC, AUSTRALIA, 3167","Resource collection, recycling and packaging","Resource collection, recycling and packaging",https://www.ctlgroup.com.au/,CLG
CLUEY LTD,"Suite 2, Level 2, 117 Clarence Street, SYDNEY, NSW, AUSTRALIA, 2000","Online tutoring and academic support, and co/extra curricular learning","Online tutoring and academic support, and co/extra curricular learning",https://clueylearning.com.au/,CLU
